type,id,source,instantTicketingRequired,nonHomogeneous,oneWay,lastTicketingDate,numberOfBookableSeats,itineraries,price,pricingOptions,validatingAirlineCodes,travelerPricings
flight-offer,1,GDS,False,False,False,2022-05-04,9,"[{'duration': 'PT3H5M', 'segments': [{'departure': {'iataCode': 'BOS', 'terminal': 'E', 'at': '2022-07-01T11:30:00'}, 'arrival': {'iataCode': 'MSP', 'terminal': '2', 'at': '2022-07-01T13:35:00'}, 'carrierCode': 'SY', 'number': '252', 'aircraft': {'code': '738'}, 'operating': {'carrierCode': 'SY'}, 'duration': 'PT3H5M', 'id': '21', 'numberOfStops': 0, 'blacklistedInEU': False}]}]","{'currency': 'EUR', 'total': '98.82', 'base': '79.00', 'fees': [{'amount': '0.00', 'type': 'SUPPLIER'}, {'amount': '0.00', 'type': 'TICKETING'}], 'grandTotal': '98.82'}","{'fareType': ['PUBLISHED'], 'includedCheckedBagsOnly': False}",['SY'],"[{'travelerId': '1', 'fareOption': 'STANDARD', 'travelerType': 'ADULT', 'price': {'currency': 'EUR', 'total': '98.82', 'base': '79.00'}, 'fareDetailsBySegment': [{'segmentId': '21', 'cabin': 'ECONOMY', 'fareBasis': 'W7DACAY', 'class': 'W', 'includedCheckedBags': {'quantity': 0}}]}]"
flight-offer,2,GDS,False,False,False,2022-05-05,9,"[{'duration': 'PT5H14M', 'segments': [{'departure': {'iataCode': 'BOS', 'terminal': 'B', 'at': '2022-07-01T06:05:00'}, 'arrival': {'iataCode': 'ORD', 'terminal': '1', 'at': '2022-07-01T07:55:00'}, 'carrierCode': 'UA', 'number': '2008', 'aircraft': {'code': '7M9'}, 'operating': {'carrierCode': 'UA'}, 'duration': 'PT2H50M', 'id': '40', 'numberOfStops': 0, 'blacklistedInEU': False}, {'departure': {'iataCode': 'ORD', 'terminal': '1', 'at': '2022-07-01T08:55:00'}, 'arrival': {'iataCode': 'MSP', 'terminal': '1', 'at': '2022-07-01T10:19:00'}, 'carrierCode': 'UA', 'number': '634', 'aircraft': {'code': '319'}, 'operating': {'carrierCode': 'UA'}, 'duration': 'PT1H24M', 'id': '41', 'numberOfStops': 0, 'blacklistedInEU': False}]}]","{'currency': 'EUR', 'total': '103.08', 'base': '75.00', 'fees': [{'amount': '0.00', 'type': 'SUPPLIER'}, {'amount': '0.00', 'type': 'TICKETING'}], 'grandTotal': '103.08'}","{'fareType': ['PUBLISHED'], 'includedCheckedBagsOnly': False}",['UA'],"[{'travelerId': '1', 'fareOption': 'STANDARD', 'travelerType': 'ADULT', 'price': {'currency': 'EUR', 'total': '103.08', 'base': '75.00'}, 'fareDetailsBySegment': [{'segmentId': '40', 'cabin': 'ECONOMY', 'fareBasis': 'KAA2AFEN', 'class': 'K', 'includedCheckedBags': {'quantity': 0}}, {'segmentId': '41', 'cabin': 'ECONOMY', 'fareBasis': 'KAA2AFEN', 'brandedFare': 'ECONOMY', 'class': 'K', 'includedCheckedBags': {'quantity': 0}}]}]"
flight-offer,3,GDS,False,False,False,2022-05-05,9,"[{'duration': 'PT5H27M', 'segments': [{'departure': {'iataCode': 'BOS', 'terminal': 'B', 'at': '2022-07-01T16:05:00'}, 'arrival': {'iataCode': 'EWR', 'terminal': 'C', 'at': '2022-07-01T17:33:00'}, 'carrierCode': 'UA', 'number': '495', 'aircraft': {'code': '7M8'}, 'operating': {'carrierCode': 'UA'}, 'duration': 'PT1H28M', 'id': '93', 'numberOfStops': 0, 'blacklistedInEU': False}, {'departure': {'iataCode': 'EWR', 'terminal': 'C', 'at': '2022-07-01T18:30:00'}, 'arrival': {'iataCode': 'MSP', 'terminal': '1', 'at': '2022-07-01T20:32:00'}, 'carrierCode': 'UA', 'number': '3577', 'aircraft': {'code': 'E70'}, 'duration': 'PT3H2M', 'id': '94', 'numberOfStops': 0, 'blacklistedInEU': False}]}]","{'currency': 'EUR', 'total': '103.08', 'base': '75.00', 'fees': [{'amount': '0.00', 'type': 'SUPPLIER'}, {'amount': '0.00', 'type': 'TICKETING'}], 'grandTotal': '103.08'}","{'fareType': ['PUBLISHED'], 'includedCheckedBagsOnly': False}",['UA'],"[{'travelerId': '1', 'fareOption': 'STANDARD', 'travelerType': 'ADULT', 'price': {'currency': 'EUR', 'total': '103.08', 'base': '75.00'}, 'fareDetailsBySegment': [{'segmentId': '93', 'cabin': 'ECONOMY', 'fareBasis': 'KAA2AFEN', 'class': 'K', 'includedCheckedBags': {'quantity': 0}}, {'segmentId': '94', 'cabin': 'ECONOMY', 'fareBasis': 'KAA2AFEN', 'brandedFare': 'ECONOMY', 'class': 'K', 'includedCheckedBags': {'quantity': 0}}]}]"
flight-offer,4,GDS,False,False,False,2022-05-05,9,"[{'duration': 'PT6H18M', 'segments': [{'departure': {'iataCode': 'BOS', 'terminal': 'B', 'at': '2022-07-01T16:45:00'}, 'arrival': {'iataCode': 'ORD', 'terminal': '1', 'at': '2022-07-01T18:32:00'}, 'carrierCode': 'UA', 'number': '561', 'aircraft': {'code': '738'}, 'operating': {'carrierCode': 'UA'}, 'duration': 'PT2H47M', 'id': '58', 'numberOfStops': 0, 'blacklistedInEU': False}, {'departure': {'iataCode': 'ORD', 'terminal': '1', 'at': '2022-07-01T20:30:00'}, 'arrival': {'iataCode': 'MSP', 'terminal': '1', 'at': '2022-07-01T22:03:00'}, 'carrierCode': 'UA', 'number': '2362', 'aircraft': {'code': '739'}, 'operating': {'carrierCode': 'UA'}, 'duration': 'PT1H33M', 'id': '59', 'numberOfStops': 0, 'blacklistedInEU': False}]}]","{'currency': 'EUR', 'total': '103.08', 'base': '75.00', 'fees': [{'amount': '0.00', 'type': 'SUPPLIER'}, {'amount': '0.00', 'type': 'TICKETING'}], 'grandTotal': '103.08'}","{'fareType': ['PUBLISHED'], 'includedCheckedBagsOnly': False}",['UA'],"[{'travelerId': '1', 'fareOption': 'STANDARD', 'travelerType': 'ADULT', 'price': {'currency': 'EUR', 'total': '103.08', 'base': '75.00'}, 'fareDetailsBySegment': [{'segmentId': '58', 'cabin': 'ECONOMY', 'fareBasis': 'KAA2AFEN', 'class': 'K', 'includedCheckedBags': {'quantity': 0}}, {'segmentId': '59', 'cabin': 'ECONOMY', 'fareBasis': 'KAA2AFEN', 'brandedFare': 'ECONOMY', 'class': 'K', 'includedCheckedBags': {'quantity': 0}}]}]"
flight-offer,5,GDS,False,False,False,2022-05-05,9,"[{'duration': 'PT8H4M', 'segments': [{'departure': {'iataCode': 'BOS', 'terminal': 'B', 'at': '2022-07-01T16:05:00'}, 'arrival': {'iataCode': 'EWR', 'terminal': 'C', 'at': '2022-07-01T17:33:00'}, 'carrierCode': 'UA', 'number': '495', 'aircraft': {'code': '7M8'}, 'operating': {'carrierCode': 'UA'}, 'duration': 'PT1H28M', 'id': '19', 'numberOfStops': 0, 'blacklistedInEU': False}, {'departure': {'iataCode': 'EWR', 'terminal': 'C', 'at': '2022-07-01T20:59:00'}, 'arrival': {'iataCode': 'MSP', 'terminal': '1', 'at': '2022-07-01T23:09:00'}, 'carrierCode': 'UA', 'number': '2183', 'aircraft': {'code': '73G'}, 'operating': {'carrierCode': 'UA'}, 'duration': 'PT3H10M', 'id': '20', 'numberOfStops': 0, 'blacklistedInEU': False}]}]","{'currency': 'EUR', 'total': '103.08', 'base': '75.00', 'fees': [{'amount': '0.00', 'type': 'SUPPLIER'}, {'amount': '0.00', 'type': 'TICKETING'}], 'grandTotal': '103.08'}","{'fareType': ['PUBLISHED'], 'includedCheckedBagsOnly': False}",['UA'],"[{'travelerId': '1', 'fareOption': 'STANDARD', 'travelerType': 'ADULT', 'price': {'currency': 'EUR', 'total': '103.08', 'base': '75.00'}, 'fareDetailsBySegment': [{'segmentId': '19', 'cabin': 'ECONOMY', 'fareBasis': 'KAA2AFEN', 'class': 'K', 'includedCheckedBags': {'quantity': 0}}, {'segmentId': '20', 'cabin': 'ECONOMY', 'fareBasis': 'KAA2AFEN', 'brandedFare': 'ECONOMY', 'class': 'K', 'includedCheckedBags': {'quantity': 0}}]}]"
flight-offer,6,GDS,False,False,False,2022-05-05,1,"[{'duration': 'PT6H5M', 'segments': [{'departure': {'iataCode': 'BOS', 'terminal': 'B', 'at': '2022-07-01T11:55:00'}, 'arrival': {'iataCode': 'EWR', 'terminal': 'C', 'at': '2022-07-01T13:26:00'}, 'carrierCode': 'UA', 'number': '254', 'aircraft': {'code': '738'}, 'operating': {'carrierCode': 'UA'}, 'duration': 'PT1H31M', 'id': '22', 'numberOfStops': 0, 'blacklistedInEU': False}, {'departure': {'iataCode': 'EWR', 'terminal': 'C', 'at': '2022-07-01T14:58:00'}, 'arrival': {'iataCode': 'MSP', 'terminal': '1', 'at': '2022-07-01T17:00:00'}, 'carrierCode': 'UA', 'number': '3436', 'aircraft': {'code': 'E70'}, 'duration': 'PT3H2M', 'id': '23', 'numberOfStops': 0, 'blacklistedInEU': False}]}]","{'currency': 'EUR', 'total': '126.73', 'base': '97.00', 'fees': [{'amount': '0.00', 'type': 'SUPPLIER'}, {'amount': '0.00', 'type': 'TICKETING'}], 'grandTotal': '126.73'}","{'fareType': ['PUBLISHED'], 'includedCheckedBagsOnly': False}",['UA'],"[{'travelerId': '1', 'fareOption': 'STANDARD', 'travelerType': 'ADULT', 'price': {'currency': 'EUR', 'total': '126.73', 'base': '97.00'}, 'fareDetailsBySegment': [{'segmentId': '22', 'cabin': 'ECONOMY', 'fareBasis': 'LAA4AHEN', 'class': 'L', 'includedCheckedBags': {'quantity': 0}}, {'segmentId': '23', 'cabin': 'ECONOMY', 'fareBasis': 'LAA4AHEN', 'brandedFare': 'ECONOMY', 'class': 'L', 'includedCheckedBags': {'quantity': 0}}]}]"
flight-offer,7,GDS,False,False,False,2022-05-05,3,"[{'duration': 'PT3H7M', 'segments': [{'departure': {'iataCode': 'BOS', 'terminal': 'A', 'at': '2022-07-01T12:20:00'}, 'arrival': {'iataCode': 'MSP', 'terminal': '1', 'at': '2022-07-01T14:27:00'}, 'carrierCode': 'DL', 'number': '781', 'aircraft': {'code': '321'}, 'operating': {'carrierCode': 'DL'}, 'duration': 'PT3H7M', 'id': '24', 'numberOfStops': 0, 'blacklistedInEU': False}]}]","{'currency': 'EUR', 'total': '132.14', 'base': '110.00', 'fees': [{'amount': '0.00', 'type': 'SUPPLIER'}, {'amount': '0.00', 'type': 'TICKETING'}], 'grandTotal': '132.14'}","{'fareType': ['PUBLISHED'], 'includedCheckedBagsOnly': False}",['DL'],"[{'travelerId': '1', 'fareOption': 'STANDARD', 'travelerType': 'ADULT', 'price': {'currency': 'EUR', 'total': '132.14', 'base': '110.00'}, 'fareDetailsBySegment': [{'segmentId': '24', 'cabin': 'ECONOMY', 'fareBasis': 'XAVNA0BC', 'brandedFare': 'BASICECON', 'class': 'E', 'includedCheckedBags': {'quantity': 0}}]}]"
flight-offer,8,GDS,False,False,False,2022-05-05,3,"[{'duration': 'PT3H11M', 'segments': [{'departure': {'iataCode': 'BOS', 'terminal': 'A', 'at': '2022-07-01T14:30:00'}, 'arrival': {'iataCode': 'MSP', 'terminal': '1', 'at': '2022-07-01T16:41:00'}, 'carrierCode': 'DL', 'number': '789', 'aircraft': {'code': '321'}, 'operating': {'carrierCode': 'DL'}, 'duration': 'PT3H11M', 'id': '31', 'numberOfStops': 0, 'blacklistedInEU': False}]}]","{'currency': 'EUR', 'total': '132.14', 'base': '110.00', 'fees': [{'amount': '0.00', 'type': 'SUPPLIER'}, {'amount': '0.00', 'type': 'TICKETING'}], 'grandTotal': '132.14'}","{'fareType': ['PUBLISHED'], 'includedCheckedBagsOnly': False}",['DL'],"[{'travelerId': '1', 'fareOption': 'STANDARD', 'travelerType': 'ADULT', 'price': {'currency': 'EUR', 'total': '132.14', 'base': '110.00'}, 'fareDetailsBySegment': [{'segmentId': '31', 'cabin': 'ECONOMY', 'fareBasis': 'XAVNA0BC', 'brandedFare': 'BASICECON', 'class': 'E', 'includedCheckedBags': {'quantity': 0}}]}]"
flight-offer,9,GDS,False,False,False,2022-05-05,3,"[{'duration': 'PT3H14M', 'segments': [{'departure': {'iataCode': 'BOS', 'terminal': 'A', 'at': '2022-07-01T06:00:00'}, 'arrival': {'iataCode': 'MSP', 'terminal': '1', 'at': '2022-07-01T08:14:00'}, 'carrierCode': 'DL', 'number': '963', 'aircraft': {'code': '321'}, 'operating': {'carrierCode': 'DL'}, 'duration': 'PT3H14M', 'id': '38', 'numberOfStops': 0, 'blacklistedInEU': False}]}]","{'currency': 'EUR', 'total': '132.14', 'base': '110.00', 'fees': [{'amount': '0.00', 'type': 'SUPPLIER'}, {'amount': '0.00', 'type': 'TICKETING'}], 'grandTotal': '132.14'}","{'fareType': ['PUBLISHED'], 'includedCheckedBagsOnly': False}",['DL'],"[{'travelerId': '1', 'fareOption': 'STANDARD', 'travelerType': 'ADULT', 'price': {'currency': 'EUR', 'total': '132.14', 'base': '110.00'}, 'fareDetailsBySegment': [{'segmentId': '38', 'cabin': 'ECONOMY', 'fareBasis': 'XAVNA0BC', 'brandedFare': 'BASICECON', 'class': 'E', 'includedCheckedBags': {'quantity': 0}}]}]"
flight-offer,10,GDS,False,False,False,2022-05-05,3,"[{'duration': 'PT3H14M', 'segments': [{'departure': {'iataCode': 'BOS', 'terminal': 'A', 'at': '2022-07-01T08:00:00'}, 'arrival': {'iataCode': 'MSP', 'terminal': '1', 'at': '2022-07-01T10:14:00'}, 'carrierCode': 'DL', 'number': '779', 'aircraft': {'code': '321'}, 'operating': {'carrierCode': 'DL'}, 'duration': 'PT3H14M', 'id': '39', 'numberOfStops': 0, 'blacklistedInEU': False}]}]","{'currency': 'EUR', 'total': '132.14', 'base': '110.00', 'fees': [{'amount': '0.00', 'type': 'SUPPLIER'}, {'amount': '0.00', 'type': 'TICKETING'}], 'grandTotal': '132.14'}","{'fareType': ['PUBLISHED'], 'includedCheckedBagsOnly': False}",['DL'],"[{'travelerId': '1', 'fareOption': 'STANDARD', 'travelerType': 'ADULT', 'price': {'currency': 'EUR', 'total': '132.14', 'base': '110.00'}, 'fareDetailsBySegment': [{'segmentId': '39', 'cabin': 'ECONOMY', 'fareBasis': 'XAVNA0BC', 'brandedFare': 'BASICECON', 'class': 'E', 'includedCheckedBags': {'quantity': 0}}]}]"
